Benchmark,dotnetcore_nollvm,mono-mono-981da38038775e963db88c40c525aaafb277ff40_nollvm,mono-mono-981da38038775e963db88c40c525aaafb277ff40_nollvm-interpreter
System.IO.Tests.Perf_FileStream.ReadByte(BufferSize: 512; TotalSize: 200000),1.00,1.00,1.00,
System.IO.Tests.Perf_FileStream.Read(BufferSize: 512; TotalSize: 200000),1.00,1.00,1.02,
System.IO.Tests.Perf_FileStream.ReadAsync(BufferSize: 512; TotalSize: 200000),1.00,1.00,1.07,
System.IO.Tests.Perf_FileStream.CopyToAsync(BufferSize: 512; TotalSize: 200000),1.00,1.00,0.95,
System.IO.Tests.Perf_FileStream.WriteByte(BufferSize: 512; TotalSize: 200000),1.00,1.00,1.00,
System.IO.Tests.Perf_FileStream.Write(BufferSize: 512; TotalSize: 200000),1.00,1.00,0.99,
System.IO.Tests.Perf_FileStream.WriteAsync(BufferSize: 512; TotalSize: 200000),1.00,1.00,0.88,
System.IO.Tests.Perf_FileStream.ReadByte(BufferSize: 200000; TotalSize: 200000),1.00,1.00,0.97,
System.IO.Tests.Perf_FileStream.Read(BufferSize: 200000; TotalSize: 200000),1.00,1.00,1.00,
System.IO.Tests.Perf_FileStream.ReadAsync(BufferSize: 200000; TotalSize: 200000),1.00,1.00,1.13,
System.IO.Tests.Perf_FileStream.CopyToAsync(BufferSize: 200000; TotalSize: 200000),1.00,1.00,1.02,
System.IO.Tests.Perf_FileStream.WriteByte(BufferSize: 200000; TotalSize: 200000),1.00,1.00,0.99,
System.IO.Tests.Perf_FileStream.Write(BufferSize: 200000; TotalSize: 200000),1.00,1.00,1.03,
System.IO.Tests.Perf_FileStream.WriteAsync(BufferSize: 200000; TotalSize: 200000),1.00,1.00,0.92,
System.Text.Json.Serialization.Tests.WriteJson<HashSet<String>>.SerializeToString,1.00,1.00,1.03,
System.Text.Json.Serialization.Tests.WriteJson<HashSet<String>>.SerializeToUtf8Bytes,1.00,1.00,1.01,
System.Text.Json.Serialization.Tests.WriteJson<HashSet<String>>.SerializeToStream,1.00,1.00,1.04,
System.Text.Json.Serialization.Tests.WriteJson<HashSet<String>>.SerializeObjectProperty,1.00,1.00,0.99,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf8(Formatted: False; SkipValidation: False; Escape...,1.00,1.00,1.02,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf16(Formatted: False; SkipValidation: False; Escap...,1.00,1.00,0.95,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf8(Formatted: False; SkipValidation: False; Escape...,1.00,1.00,0.97,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf16(Formatted: False; SkipValidation: False; Escap...,1.00,1.00,1.01,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf8(Formatted: False; SkipValidation: False; Escape...,1.00,1.00,0.97,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf16(Formatted: False; SkipValidation: False; Escap...,1.00,1.00,0.98,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf8(Formatted: False; SkipValidation: True; Escaped...,1.00,1.00,1.01,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf16(Formatted: False; SkipValidation: True; Escape...,1.00,1.00,1.00,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf8(Formatted: False; SkipValidation: True; Escaped...,1.00,1.00,1.04,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf16(Formatted: False; SkipValidation: True; Escape...,1.00,1.00,1.02,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf8(Formatted: False; SkipValidation: True; Escaped...,1.00,1.00,1.03,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf16(Formatted: False; SkipValidation: True; Escape...,1.00,1.00,0.98,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf8(Formatted: True; SkipValidation: False; Escaped...,1.00,1.00,1.04,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf16(Formatted: True; SkipValidation: False; Escape...,1.00,1.00,1.02,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf8(Formatted: True; SkipValidation: False; Escaped...,1.00,1.00,1.11,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf16(Formatted: True; SkipValidation: False; Escape...,1.00,1.00,1.06,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf8(Formatted: True; SkipValidation: False; Escaped...,1.00,1.00,1.02,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf16(Formatted: True; SkipValidation: False; Escape...,1.00,1.00,1.02,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf8(Formatted: True; SkipValidation: True; Escaped:...,1.00,1.00,1.02,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf16(Formatted: True; SkipValidation: True; Escaped...,1.00,1.00,1.05,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf8(Formatted: True; SkipValidation: True; Escaped:...,1.00,1.00,1.01,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf16(Formatted: True; SkipValidation: True; Escaped...,1.00,1.00,1.02,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf8(Formatted: True; SkipValidation: True; Escaped:...,1.00,1.00,0.99,
System.Text.Json.Tests.Perf_Strings.WriteStringsUtf16(Formatted: True; SkipValidation: True; Escaped...,1.00,1.00,0.98,
System.Security.Cryptography.Primitives.Tests.Performance.Perf_FixedTimeEquals.FixedTimeEquals_256Bi...,1.00,1.00,1.01,
System.Security.Cryptography.Primitives.Tests.Performance.Perf_FixedTimeEquals.FixedTimeEquals_256Bi...,1.00,1.00,0.98,
System.Security.Cryptography.Primitives.Tests.Performance.Perf_FixedTimeEquals.FixedTimeEquals_256Bi...,1.00,1.00,1.03,
System.Security.Cryptography.Primitives.Tests.Performance.Perf_FixedTimeEquals.FixedTimeEquals_256Bi...,1.00,1.00,1.01,
System.Security.Cryptography.Primitives.Tests.Performance.Perf_FixedTimeEquals.FixedTimeEquals_256Bi...,1.00,1.00,1.01,
System.Security.Cryptography.Primitives.Tests.Performance.Perf_FixedTimeEquals.FixedTimeEquals_256Bi...,1.00,1.00,1.00,
System.Security.Cryptography.Primitives.Tests.Performance.Perf_FixedTimeEquals.FixedTimeEquals_256Bi...,1.00,1.00,1.02,
System.Text.Json.Serialization.Tests.ReadJson<LoginViewModel>.DeserializeFromString,1.00,1.00,1.00,
System.Text.Json.Serialization.Tests.ReadJson<LoginViewModel>.DeserializeFromUtf8Bytes,1.00,1.00,1.01,
System.Text.Json.Serialization.Tests.ReadJson<LoginViewModel>.DeserializeFromStream,1.00,1.00,1.03,
System.Memory.Slice<Byte>.SpanStart,SMALL,SMALL,SMALL,
System.Memory.Slice<Byte>.SpanStartLength,SMALL,SMALL,SMALL,
System.Memory.Slice<Byte>.ReadOnlySpanStart,SMALL,SMALL,SMALL,
System.Memory.Slice<Byte>.ReadOnlySpanStartLength,SMALL,SMALL,SMALL,
System.Memory.Slice<Byte>.MemoryStart,SMALL,SMALL,SMALL,
System.Memory.Slice<Byte>.MemoryStartSpan,SMALL,SMALL,SMALL,
System.Memory.Slice<Byte>.MemoryStartLength,SMALL,SMALL,SMALL,
System.Memory.Slice<Byte>.MemoryStartLengthSpan,SMALL,SMALL,SMALL,
System.Memory.Slice<Byte>.ReadOnlyMemoryStart,SMALL,SMALL,SMALL,
System.Memory.Slice<Byte>.ReadOnlyMemoryStartSpan,SMALL,SMALL,SMALL,
System.Memory.Slice<Byte>.ReadOnlyMemoryStartLength,SMALL,SMALL,SMALL,
System.Memory.Slice<Byte>.ReadOnlyMemoryStartLengthSpan,SMALL,SMALL,SMALL,
System.Memory.Slice<Byte>.MemorySpanStart,SMALL,SMALL,SMALL,
System.Memory.Slice<Byte>.MemorySpanStartLength,SMALL,SMALL,SMALL,
System.Memory.Slice<Byte>.ReadOnlyMemorySpanStart,SMALL,SMALL,SMALL,
System.Memory.Slice<Byte>.ReadOnlyMemorySpanStartLength,SMALL,SMALL,SMALL,
System.Hashing.GetStringHashCode(BytesCount: 10),1.00,1.00,0.96,
System.Hashing.GetStringHashCode(BytesCount: 100),1.00,1.00,1.00,
System.Hashing.GetStringHashCode(BytesCount: 1000),1.00,1.00,1.00,
System.Hashing.GetStringHashCode(BytesCount: 10000),1.00,1.00,1.01,
MicroBenchmarks.Serializers.Xml_ToStream<XmlElement>.XmlSerializer_,1.00,1.00,0.95,
MicroBenchmarks.Serializers.Xml_ToStream<XmlElement>.DataContractSerializer_,1.00,1.00,1.04,
PerfLabTests.EnumPerf.ObjectGetType,SMALL,SMALL,SMALL,
PerfLabTests.EnumPerf.ObjectGetTypeNoBoxing,SMALL,SMALL,SMALL,
PerfLabTests.EnumPerf.EnumEquals,1.00,1.00,1.01,
PerfLabTests.EnumPerf.EnumCompareTo(color: Red),1.00,1.00,0.96,
MicroBenchmarks.Serializers.Json_FromStream<IndexViewModel>.Jil_,1.00,1.00,0.97,
MicroBenchmarks.Serializers.Json_FromStream<IndexViewModel>.JsonNet_,1.00,1.00,1.02,
MicroBenchmarks.Serializers.Json_FromStream<IndexViewModel>.Utf8Json_,1.00,1.00,0.98,
MicroBenchmarks.Serializers.Json_FromStream<IndexViewModel>.DataContractJsonSerializer_,1.00,1.00,1.01,
ByteMark.BenchNumericSortJagged,1.00,1.00,1.00,
ByteMark.BenchNumericSortRectangular,1.00,1.00,0.99,
ByteMark.BenchStringSort,1.00,1.00,1.01,
ByteMark.BenchBitOps,1.00,1.00,1.01,
ByteMark.BenchEmFloat,1.00,1.00,0.96,
ByteMark.BenchEmFloatClass,1.00,1.00,1.01,
ByteMark.BenchFourier,1.00,1.00,0.98,
ByteMark.BenchAssignJagged,1.00,1.00,1.01,
ByteMark.BenchAssignRectangular,1.00,1.00,1.03,
ByteMark.BenchIDEAEncryption,1.00,1.00,0.98,
ByteMark.BenchNeuralJagged,1.00,1.00,0.99,
ByteMark.BenchNeural,1.00,1.00,1.01,
ByteMark.BenchLUDecomp,1.00,1.00,0.96,
System.Collections.Concurrent.AddRemoveFromSameThreads<Int32>.ConcurrentBag(Size: 2000000),1.00,1.00,0.95,
System.Collections.Concurrent.AddRemoveFromSameThreads<Int32>.ConcurrentStack(Size: 2000000),1.00,1.00,1.17,
System.Collections.Concurrent.AddRemoveFromSameThreads<Int32>.ConcurrentQueue(Size: 2000000),1.00,1.00,1.26,
System.Tests.Perf_Object.ctor,1.00,1.00,0.99,
System.Tests.Perf_Object.GetType_,SMALL,SMALL,SMALL,
System.Security.Cryptography.Tests.Perf_Rfc2898DeriveBytes.DeriveBytes,1.00,1.00,0.97,
System.Security.Cryptography.Tests.Perf_CryptoConfig.CreateFromName(name: "RSA"),1.00,1.00,0.99,
System.Security.Cryptography.Tests.Perf_CryptoConfig.CreateFromName(name: "SHA512"),1.00,1.00,0.98,
System.Security.Cryptography.Tests.Perf_CryptoConfig.CreateFromName(name: "X509Chain"),1.00,1.00,0.97,
System.Tests.Perf_Int16.Parse(value: "-32768"),1.00,1.00,1.00,
System.Tests.Perf_Int16.TryParse(value: "-32768"),1.00,1.00,1.08,
System.Tests.Perf_Int16.ToString(value: -32768),1.00,1.00,0.90,
System.Tests.Perf_Int16.Parse(value: "0"),1.00,1.00,1.01,
System.Tests.Perf_Int16.TryParse(value: "0"),1.00,1.00,0.99,
System.Tests.Perf_Int16.ToString(value: 0),1.00,1.00,1.01,
System.Tests.Perf_Int16.Parse(value: "32767"),1.00,1.00,0.95,
System.Tests.Perf_Int16.TryParse(value: "32767"),1.00,1.00,1.05,
System.Tests.Perf_Int16.ToString(value: 32767),1.00,1.00,1.02,
System.Threading.Tests.Perf_Thread.CurrentThread,1.00,1.00,1.02,
System.Threading.Tests.Perf_Thread.GetCurrentProcessorId,1.00,1.00,0.95,
System.Collections.Sort<Int32>.Array(Size: 512),1.00,1.00,0.94,
System.Collections.Sort<Int32>.Array_ComparerClass(Size: 512),1.00,1.00,1.00,
System.Collections.Sort<Int32>.Array_ComparerStruct(Size: 512),1.00,1.00,0.96,
System.Collections.Sort<Int32>.Array_Comparison(Size: 512),1.00,1.00,1.00,
System.Collections.Sort<Int32>.List(Size: 512),1.00,1.00,1.01,
System.Collections.Sort<Int32>.LinqQuery(Size: 512),1.00,1.00,0.98,
System.Collections.Sort<Int32>.LinqOrderByExtension(Size: 512),1.00,1.00,1.04,
System.Memory.SequenceReader.TryReadTo,1.00,1.00,1.00,
HardwareIntrinsics.RayTracer.SoA.Render,1.00,1.00,0.94,
System.Collections.CtorFromCollection<Int32>.List(Size: 512),1.00,1.00,1.04,
System.Collections.CtorFromCollection<Int32>.LinkedList(Size: 512),1.00,1.00,1.05,
System.Collections.CtorFromCollection<Int32>.HashSet(Size: 512),1.00,1.00,1.03,
System.Collections.CtorFromCollection<Int32>.Dictionary(Size: 512),1.00,1.00,1.16,
System.Collections.CtorFromCollection<Int32>.Queue(Size: 512),1.00,1.00,1.00,
System.Collections.CtorFromCollection<Int32>.Stack(Size: 512),1.00,1.00,0.96,
System.Collections.CtorFromCollection<Int32>.SortedList(Size: 512),1.00,1.00,0.97,
System.Collections.CtorFromCollection<Int32>.SortedSet(Size: 512),1.00,1.00,0.94,
System.Collections.CtorFromCollection<Int32>.SortedDictionary(Size: 512),1.00,1.00,1.01,
System.Collections.CtorFromCollection<Int32>.ConcurrentDictionary(Size: 512),1.00,1.00,0.95,
System.Collections.CtorFromCollection<Int32>.ConcurrentQueue(Size: 512),1.00,1.00,0.99,
System.Collections.CtorFromCollection<Int32>.ConcurrentStack(Size: 512),1.00,1.00,1.01,
System.Collections.CtorFromCollection<Int32>.ConcurrentBag(Size: 512),1.00,1.00,0.98,
System.Collections.CtorFromCollection<Int32>.ImmutableArray(Size: 512),1.00,1.00,0.99,
System.Collections.CtorFromCollection<Int32>.ImmutableDictionary(Size: 512),1.00,1.00,0.99,
System.Collections.CtorFromCollection<Int32>.ImmutableHashSet(Size: 512),1.00,1.00,0.98,
System.Collections.CtorFromCollection<Int32>.ImmutableList(Size: 512),1.00,1.00,0.98,
System.Collections.CtorFromCollection<Int32>.ImmutableQueue(Size: 512),1.00,1.00,1.01,
System.Collections.CtorFromCollection<Int32>.ImmutableStack(Size: 512),1.00,1.00,1.02,
System.Collections.CtorFromCollection<Int32>.ImmutableSortedDictionary(Size: 512),1.00,1.00,1.00,
System.Collections.CtorFromCollection<Int32>.ImmutableSortedSet(Size: 512),1.00,1.00,0.98,
System.Memory.MemoryMarshal<Byte>.GetReference,SMALL,SMALL,SMALL,
System.Memory.MemoryMarshal<Byte>.AsBytes,SMALL,SMALL,SMALL,
System.Memory.MemoryMarshal<Byte>.CastToByte,SMALL,SMALL,SMALL,
System.Memory.MemoryMarshal<Byte>.CastToInt,SMALL,SMALL,SMALL,
System.Memory.MemoryMarshal<Byte>.TryGetArray,SMALL,SMALL,SMALL,
System.Memory.MemoryMarshal<Byte>.Read,SMALL,SMALL,SMALL,
MicroBenchmarks.Serializers.Json_FromStream<LoginViewModel>.Jil_,1.00,1.00,0.98,
MicroBenchmarks.Serializers.Json_FromStream<LoginViewModel>.JsonNet_,1.00,1.00,1.02,
MicroBenchmarks.Serializers.Json_FromStream<LoginViewModel>.Utf8Json_,1.00,1.00,0.93,
MicroBenchmarks.Serializers.Json_FromStream<LoginViewModel>.DataContractJsonSerializer_,1.00,1.00,0.96,
System.Globalization.Tests.StringHash.GetHashCode(Count: 128; Options: (; IgnoreCase)),1.00,1.00,1.01,
System.Globalization.Tests.StringHash.GetHashCode(Count: 128; Options: (; None)),1.00,1.00,0.98,
System.Globalization.Tests.StringHash.GetHashCode(Count: 128; Options: (en-US; IgnoreCase)),1.00,1.00,0.98,
System.Globalization.Tests.StringHash.GetHashCode(Count: 128; Options: (en-US; None)),1.00,1.00,1.00,
System.Globalization.Tests.StringHash.GetHashCode(Count: 128; Options: (en-US; Ordinal)),1.00,1.00,1.00,
System.Globalization.Tests.StringHash.GetHashCode(Count: 128; Options: (en-US; OrdinalIgnoreCase)),1.00,1.00,1.02,
System.Globalization.Tests.StringHash.GetHashCode(Count: 131072; Options: (; IgnoreCase)),1.00,1.00,1.02,
System.Globalization.Tests.StringHash.GetHashCode(Count: 131072; Options: (; None)),1.00,1.00,1.00,
System.Globalization.Tests.StringHash.GetHashCode(Count: 131072; Options: (en-US; IgnoreCase)),1.00,1.00,1.01,
System.Globalization.Tests.StringHash.GetHashCode(Count: 131072; Options: (en-US; None)),1.00,1.00,1.01,
System.Globalization.Tests.StringHash.GetHashCode(Count: 131072; Options: (en-US; Ordinal)),1.00,1.00,1.02,
System.Globalization.Tests.StringHash.GetHashCode(Count: 131072; Options: (en-US; OrdinalIgnoreCase)...,1.00,1.00,0.98,
Benchstone.BenchI.IniArray.Test,1.00,1.00,0.98,
System.Text.Json.Tests.Perf_Segment.ReadSingleSegmentSequenceByN(numberOfBytes: 4096; TestCase: Json...,1.00,1.00,0.99,
System.Text.Json.Tests.Perf_Segment.ReadMultiSegmentSequence(segmentSize: 4096; TestCase: Json4KB),1.00,1.00,1.01,
System.Text.Json.Tests.Perf_Segment.ReadMultiSegmentSequenceUsingSpan(segmentSize: 4096; TestCase: J...,1.00,1.00,1.01,
System.Text.Json.Tests.Perf_Segment.ReadSingleSegmentSequenceByN(numberOfBytes: 8192; TestCase: Json...,1.00,1.00,1.01,
System.Text.Json.Tests.Perf_Segment.ReadMultiSegmentSequence(segmentSize: 8192; TestCase: Json4KB),1.00,1.00,1.01,
System.Text.Json.Tests.Perf_Segment.ReadMultiSegmentSequenceUsingSpan(segmentSize: 8192; TestCase: J...,1.00,1.00,0.99,
System.Text.Json.Tests.Perf_Segment.ReadSingleSegmentSequence(TestCase: Json4KB),1.00,1.00,0.98,
System.Text.Json.Tests.Perf_Segment.ReadSingleSegmentSequenceByN(numberOfBytes: 4096; TestCase: Json...,1.00,1.00,0.98,
System.Text.Json.Tests.Perf_Segment.ReadMultiSegmentSequence(segmentSize: 4096; TestCase: Json40KB),1.00,1.00,0.99,
System.Text.Json.Tests.Perf_Segment.ReadMultiSegmentSequenceUsingSpan(segmentSize: 4096; TestCase: J...,1.00,1.00,1.01,
System.Text.Json.Tests.Perf_Segment.ReadSingleSegmentSequenceByN(numberOfBytes: 8192; TestCase: Json...,1.00,1.00,1.01,
System.Text.Json.Tests.Perf_Segment.ReadMultiSegmentSequence(segmentSize: 8192; TestCase: Json40KB),1.00,1.00,1.02,
System.Text.Json.Tests.Perf_Segment.ReadMultiSegmentSequenceUsingSpan(segmentSize: 8192; TestCase: J...,1.00,1.00,1.00,
System.Text.Json.Tests.Perf_Segment.ReadSingleSegmentSequence(TestCase: Json40KB),1.00,1.00,1.00,
System.Text.Json.Tests.Perf_Segment.ReadSingleSegmentSequenceByN(numberOfBytes: 4096; TestCase: Json...,1.00,1.00,1.01,
System.Text.Json.Tests.Perf_Segment.ReadMultiSegmentSequence(segmentSize: 4096; TestCase: Json400KB),1.00,1.00,0.98,
System.Text.Json.Tests.Perf_Segment.ReadMultiSegmentSequenceUsingSpan(segmentSize: 4096; TestCase: J...,1.00,1.00,0.99,
System.Text.Json.Tests.Perf_Segment.ReadSingleSegmentSequenceByN(numberOfBytes: 8192; TestCase: Json...,1.00,1.00,0.96,
System.Text.Json.Tests.Perf_Segment.ReadMultiSegmentSequence(segmentSize: 8192; TestCase: Json400KB),1.00,1.00,1.02,
System.Text.Json.Tests.Perf_Segment.ReadMultiSegmentSequenceUsingSpan(segmentSize: 8192; TestCase: J...,1.00,1.00,1.01,
System.Text.Json.Tests.Perf_Segment.ReadSingleSegmentSequence(TestCase: Json400KB),1.00,1.00,1.01,
Benchstone.BenchF.Trap.Test,1.00,1.00,1.02,
PerfLabTests.LowLevelPerf.EmptyStaticFunction,1.00,1.00,1.02,
PerfLabTests.LowLevelPerf.EmptyStaticFunction5Arg,1.00,1.00,1.01,
PerfLabTests.LowLevelPerf.EmptyInstanceFunction,1.00,1.00,0.99,
PerfLabTests.LowLevelPerf.InterfaceInterfaceMethod,1.00,1.00,1.02,
PerfLabTests.LowLevelPerf.InterfaceInterfaceMethodLongHierarchy,1.00,1.00,1.05,
PerfLabTests.LowLevelPerf.InterfaceInterfaceMethodSwitchCallType,1.00,1.00,1.01,
PerfLabTests.LowLevelPerf.ClassVirtualMethod,1.00,1.00,0.98,
PerfLabTests.LowLevelPerf.SealedClassInterfaceMethod,1.00,1.00,0.96,
PerfLabTests.LowLevelPerf.StructWithInterfaceInterfaceMethod,1.00,1.00,1.01,
PerfLabTests.LowLevelPerf.StaticIntPlus,1.00,1.00,0.98,
PerfLabTests.LowLevelPerf.ObjectStringIsString,1.00,1.00,0.99,
PerfLabTests.LowLevelPerf.NewDelegateClassEmptyInstanceFn,1.00,1.00,1.11,
PerfLabTests.LowLevelPerf.NewDelegateClassEmptyStaticFn,1.00,1.00,1.02,
PerfLabTests.LowLevelPerf.InstanceDelegate,1.00,1.00,1.00,
PerfLabTests.LowLevelPerf.StaticDelegate,1.00,1.00,1.00,
PerfLabTests.LowLevelPerf.MeasureEvents,1.00,1.00,1.00,
PerfLabTests.LowLevelPerf.GenericClassWithIntGenericInstanceField,1.00,1.00,1.06,
PerfLabTests.LowLevelPerf.GenericClassGenericStaticField,1.00,1.00,0.93,
PerfLabTests.LowLevelPerf.GenericClassGenericInstanceMethod,1.00,1.00,1.01,
PerfLabTests.LowLevelPerf.GenericClassGenericStaticMethod,1.00,1.00,1.01,
PerfLabTests.LowLevelPerf.GenericGenericMethod,1.00,1.00,0.99,
PerfLabTests.LowLevelPerf.GenericClassWithSTringGenericInstanceMethod,1.00,1.00,1.00,
PerfLabTests.LowLevelPerf.ForeachOverList100Elements,1.00,1.00,0.92,
PerfLabTests.LowLevelPerf.TypeReflectionObjectGetType,1.00,1.00,1.13,
PerfLabTests.LowLevelPerf.TypeReflectionArrayGetType,1.00,1.00,0.89,
PerfLabTests.LowLevelPerf.IntegerFormatting,1.00,1.00,0.98,
System.IO.Tests.Perf_Directory.CreateDirectory,1.00,1.00,0.95,
System.IO.Tests.Perf_Directory.GetCurrentDirectory,1.00,1.00,1.04,
System.IO.Tests.Perf_Directory.Exists,1.00,1.00,1.02,
System.IO.Tests.Perf_Directory.EnumerateFiles,1.00,1.00,1.03,
System.IO.Tests.Perf_Directory.RecursiveCreateDeleteDirectory(depth: 10),1.00,1.00,0.88,
System.IO.Tests.Perf_Directory.RecursiveCreateDeleteDirectory(depth: 100),1.00,1.00,0.89,
System.IO.Tests.Perf_Directory.RecursiveCreateDeleteDirectory(depth: 1000),1.00,1.00,0.99,
System.Collections.ContainsFalse<Int32>.Array(Size: 512),1.00,1.00,0.99,
System.Collections.ContainsFalse<Int32>.Span(Size: 512),1.00,1.00,0.99,
System.Collections.ContainsFalse<Int32>.List(Size: 512),1.00,1.00,0.99,
System.Collections.ContainsFalse<Int32>.ICollection(Size: 512),1.00,1.00,1.00,
System.Collections.ContainsFalse<Int32>.LinkedList(Size: 512),1.00,1.00,1.00,
System.Collections.ContainsFalse<Int32>.HashSet(Size: 512),1.00,1.00,0.98,
System.Collections.ContainsFalse<Int32>.Queue(Size: 512),1.00,1.00,1.02,
System.Collections.ContainsFalse<Int32>.Stack(Size: 512),1.00,1.00,1.00,
System.Collections.ContainsFalse<Int32>.SortedSet(Size: 512),1.00,1.00,0.99,
System.Collections.ContainsFalse<Int32>.ImmutableArray(Size: 512),1.00,1.00,0.99,
System.Collections.ContainsFalse<Int32>.ImmutableHashSet(Size: 512),1.00,1.00,0.96,
System.Collections.ContainsFalse<Int32>.ImmutableList(Size: 512),1.00,1.00,1.02,
System.Collections.ContainsFalse<Int32>.ImmutableSortedSet(Size: 512),1.00,1.00,1.03,
System.IO.Pipelines.Tests.Perf_Pipe.SyncReadAsync,1.00,1.00,1.02,
System.IO.Pipelines.Tests.Perf_Pipe.ReadAsync,1.00,1.00,1.03,
System.IO.Pipelines.Tests.Perf_Pipe.SyncReadAsyncWithCancellationToken,1.00,1.00,0.97,
System.IO.Pipelines.Tests.Perf_Pipe.ReadAsyncWithCancellationToken,1.00,1.00,1.04,
System.Tests.Perf_SByte.Parse(value: "-128"),1.00,1.00,1.06,
System.Tests.Perf_SByte.TryParse(value: "-128"),1.00,1.00,0.97,
System.Tests.Perf_SByte.ToString(value: -128),1.00,1.00,1.00,
System.Tests.Perf_SByte.Parse(value: "127"),1.00,1.00,0.97,
System.Tests.Perf_SByte.TryParse(value: "127"),1.00,1.00,1.04,
System.Tests.Perf_SByte.ToString(value: 127),1.00,1.00,0.98,
BenchmarksGame.FannkuchRedux_2.RunBench(n: 10; expectedSum: 73196),1.00,1.00,1.04,
